Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Challenge/Removal,Ban Status,Initiating Action
The Cider House Rules,"Irving, John",,,,,Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration
The World According to Garp,"Irving, John",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Attack on Titan (Series, Title Not Specified)","Isayama, Hajime",,,,Attack on Titan,Texas,North East Independent School District,June 2024,Banned,Administration
"Tokyo Ghoul (Series, Title Not Specified)","Ishida, Sui",,,,Tokyo Ghoul,Texas,North East Independent School District,June 2024,Banned,Administration
Never Let Me Go,"Ishiguro, Kazuo",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Librarian of Auschwitz,"Iturbe, Antonio",,"Thwaites, Lilit",,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
The Librarian of Auschwitz: The Graphic Novel,"Iturbe, Antonio","Rubio, Salva","Aroca, Loreto","Thwaites, Lilit",,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Snow Child,"Ivey, Eowyn",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
"Magus of the Library (Series, Title Not Specified)","Izumi, Mitsu",,,,Magnus of the Library,Texas,North East Independent School District,June 2024,Banned,Administration
A Good Girl's Guide to Murder,"Jackson, Holly",,,,A Good Girl's Guide to Murder,Florida,Clay County School District,March 2024,Banned by restriction,Formal Challenge
A Good Girl's Guide to Murder,"Jackson, Holly",,,,A Good Girl's Guide to Murder,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
As Good as Dead,"Jackson, Holly",,,,A Good Girl's Guide to Murder,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Good Girl, Bad Blood","Jackson, Holly",,,,A Good Girl's Guide to Murder,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Brevard Public Schools,December 2023,Banned pending investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Lake County Schools,October 2023,Banned pending investigation,Unclear
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Santa Rosa County Schools,February 2024,Banned pending investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Seminole County Public Schools,September 2023,Banned,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Iowa,Ridge View Community School District,June 2024,Banned,Administration
Allegedly,"Jackson, Tiffany D.",,,,,South Carolina,Spartanburg County School District One,February 2024,Banned,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Texas,Conroe Independent School District,October 2023,Banned,Informal Challenge
Allegedly,"Jackson, Tiffany D.",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Grown,"Jackson, Tiffany D.",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Florida,Lake County Schools,February 2024,Banned by restriction,Administration
Grown,"Jackson, Tiffany D.",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Grown,"Jackson, Tiffany D.",,,,,Florida,Seminole County Public Schools,April 2024,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Ankeny Community School District,June 2024,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Council Bluffs Community School District,June 2024,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration
Grown,"Jackson, Tiffany D.",,,,,South Carolina,Spartanburg County School District One,February 2024,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Texas,Conroe Independent School District,October 2023,Banned,Informal Challenge
Grown,"Jackson, Tiffany D.",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
Grown,"Jackson, Tiffany D.",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
Grown,"Jackson, Tiffany D.",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Let Me Hear a Rhyme,"Jackson, Tiffany D.","Sharif, Malik ""Malik-16""",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Georgia,Marietta City Schools,December 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Council Bluffs Community School District,June 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Linn-Mar Community School District,June 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Marshalltown Community School District,September 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Mediapolis Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,River Valley Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,South Tama County Community School District,December 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Spirit Lake Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Van Meter Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Waterloo Community School District,June 2024,Banned pending investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Iowa,Woodward-Granger Community School District,June 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,North Carolina,Burke County Public Schools,September 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,North Carolina,Catawba County Schools,September 2023,Banned by restriction,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,South Carolina,Horry County Schools,October 2023,Banned by restriction,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,South Carolina,Spartanburg County School District One,February 2024,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Texas,Conroe Independent School District,November 2023,Banned,Informal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Virginia,Spotsylvania County Public Schools,October 2023,Banned,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Wyoming,Laramie County School District No. 1,April 2024,Banned by restriction,Formal Challenge
The Weight of Blood,"Jackson, Tiffany D.",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Weight of Blood,"Jackson, Tiffany D.",,,,,Iowa,Lake Mills Community School District,June 2024,Banned,Administration
The Weight of Blood,"Jackson, Tiffany D.",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
The Friday Night Knitting Club,"Jacobs, Kate",,,,Friday Night Knitting Club,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Stained,"Jacobson, Jennifer Richard",,,,,Florida,Martin County Schools,April 2024,Banned,Formal Challenge
Stained,"Jacobson, Jennifer Richard",,,,,South Carolina,Spartanburg County School District One,February 2024,Banned,Administration
Stained,"Jacobson, Jennifer Richard",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Anne Frank: The Anne Frank House Authorized Graphic Biography,"Jacobson, Sid","Colón, Ernie",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Anne Frank: The Anne Frank House Authorized Graphic Biography,"Jacobson, Sid","Colón, Ernie",,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Wintersong,"Jae-Jones, S.",,,,Wintersong,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Beyond the Red,"Jae, Ava",,,,Beyond the Red,Texas,North East Independent School District,June 2024,Banned,Administration
Lab Girl,"Jahren, Hope",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Hani and Ishu's Guide to Fake Dating,"Jaigirdar, Adiba",,,,,Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge
Bit of a Blur: the Autobiography,"James, Alex",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades of Grey,"James, E. L.",,,,Fifty Shades,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Darker,"James, E.L.",,,,Fifty Shades,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fifty Shades Freed,"James, E.L.",,,,Fifty Shades,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Black Leopard, Red Wolf","James, Marlon",,,,,Florida,Santa Rosa County Schools,January 2024,Banned,Formal Challenge
The Murder Room,"James, P. D.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
All's Faire in Middle School,"Jamieson, Victoria",,,,,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
Roller Girl,"Jamieson, Victoria",,,,Roller Girl,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
When Stars are Scattered,"Jamieson, Victoria","Mohamed, Omar","Geddy, Iman",,,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
When Stars Are Scattered,"Jamieson, Victoria","Mohamed, Omar","Geddy, Iman",,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
"The World Almanac and Book of Facts, 2018","Janssen, Sarah",,,,The World Almanac and Book of Facts,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Decorative Arts of Africa,"Jefferson, Louise E.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hundred Thousand Kingdoms,"Jemisin, N. K.",,,,The Inheritance Trilogy,Florida,Clay County School District,June 2024,Banned,Formal Challenge
Damage,"Jenkins, A.M.",,,,,Iowa,WACO Community School District,June 2024,Banned,Administration
Harry Versus the First 100 Days of School,"Jenkins, Emily",,"Oswald, Pete",,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Be Loved,"Jenkins, Emma Mae",,,,,Iowa,Muscatine Community School District,June 2024,Banned,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Formal Challenge
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Florida,Seminole County Public Schools,November 2023,Banned by restriction,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Knight of the Cape: Definitely Dominguita,"Jennings, Terry Catasus",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Green River Killer: A True Detective Story,"Jensen, Jeff",,"Case, Jonathan",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
(Don't) Call Me Crazy: 33 Voices Start the Conversation,"Jensen, Kelly",,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",,,,,Florida,Clay County School District,November 2023,Banned,Formal Challenge
Escape,"Jessop, Carolyn",,,,,Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration
Part of Your World,"Jimenez, Abby",,,,Part of Your World,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Fatal Tide,"Johansen, Iris",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
No One to Trust,"Johansen, Iris",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
No One to Trust,"Johansen, Iris",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
No One to Trust,"Johansen, Iris",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
If I Fix You,"Johnson, Abigail",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Love is the Drug,"Johnson, Alaya Dawn",,,,,Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge
The Summer Prince,"Johnson, Alaya Dawn",,,,,Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge
The Summer Prince,"Johnson, Alaya Dawn",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
The First Part Last,"Johnson, Angela",,,,,Iowa,Nevada Community School District,October 2023,Banned,Administration
The Breakaways,"Johnson, Cathy G.",,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
The Breakaways,"Johnson, Cathy G.",,,,,Iowa,Spirit Lake Community School District,June 2024,Banned,Administration
The Breakaways,"Johnson, Cathy G.",,,,,Oregon,Helix School District,November 2023,Banned pending investigation,Formal Challenge
The Breakaways,"Johnson, Cathy G.",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Alachua County Public Schools,November 2023,Banned,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Broward County Public Schools,December 2023,Banned by restriction,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Lake County Schools,July 2023,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Polk County Public Schools,October 2023,Banned pending investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Santa Rosa County Schools,August 2023,Banned pending investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,School District of Manatee County,September 2023,Banned,Unclear
All Boys Aren't Blue,"Johnson, George M.",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Georgia,Marietta City Schools,December 2023,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Ankeny Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Davenport Community Schools,February 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Decorah Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Marion Independent School District,June 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Muscatine Community School District,June 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Perry Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Riverside Community School District,October 2023,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Southeast Polk Community School District,June 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Union Community School District,June 2024,Banned,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Urbandale Community School District,October 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Waterloo Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,Waukee Community School District,June 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Maryland,Caroll County School District,August 2023,Banned by restriction,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Missouri,Cameron R-1 School District,December 2023,Banned by restriction,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,New York,Clyde-Savannah Central School District,August 2023,Banned,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Pennsylvania,South Middleton School District,March 2024,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Texas,Fort Bend Independent School District,April 2024,Banned by restriction,"Formal Challenge, Administration"
All Boys Aren't Blue,"Johnson, George M.",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",,,,,Texas,Plano Independent School District,October 2023,Banned,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Virginia,Fluvanna School District,October 2023,Banned pending investigation,Informal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
All Boys Aren't Blue,"Johnson, George M.",,,,,Wisconsin,Kenosha Unified School District,September 2023,Banned by restriction,Informal Challenge
"Technically, You Started It","Johnson, Lana Wood",,,,,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Ellie Engle Saves Herself,"Johnson, Leah",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Rise to the Sun,"Johnson, Leah",,,,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Rise to the Sun,"Johnson, Leah",,,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Devil in the Device,"Johnson, Lora Beth",,,,,Texas,North East Independent School District,June 2024,Banned,Administration
The Box in the Woods,"Johnson, Maureen",,,,Truly Devious,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The hand on the wall,"Johnson, Maureen",,,,Truly Devious,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hand on the Wall,"Johnson, Maureen",,,,Truly Devious,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Vanishing Stair,"Johnson, Maureen",,,,Truly Devious,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Truly Devious,"Johnson, Maureen",,,,Truly Devious,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Graduate (The Play),"Johnson, Terry","Webb, Charles",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Parker Inheritance,"Johnson, Varian",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
The Parker Inheritance,"Johnson, Varian",,,,,Iowa,Eddyville-Blakesburg-Fremont Community School District,June 2024,Banned,Administration
The Parker Inheritance,"Johnson, Varian",,,,,Iowa,Lake Mills Community School District,June 2024,Banned,Administration
The Parker Inheritance,"Johnson, Varian",,,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
That Inevitable Victorian Thing,"Johnston, E. K",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Exit, Pursued by a Bear","Johnston, E. K.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Exit, Pursued by a Bear","Johnston, E. K.",,,,,Florida,Lake County Schools,March 2024,Banned pending investigation,Unclear
"Exit, Pursued by a Bear","Johnston, E. K.",,,,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration
Choice Words: How Our Language Affects Children's Learning,"Johnston, Peter H.",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Sign of the Cat,"Jonell, Lynee",,,,,Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge
Tips on Having a Gay (Ex) Boyfriend,"Jones, Carrie",,,,Belle,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
We Are All Liars,"Jones, Carys",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
"Modern Love: Revised and Updated: True Stories of Love Loss, and Redemption","Jones, Daniel","Rannells, Andrew; Waldman, Ayelet; Rosenthal, Amy Krouse; Chambers, Veronica; Copaken, Deborah; Korelitz, Jean Hanff; Ellis, Trey; Hood, Ann; Kahn, Howie; Hung, Mindy; Cheney, Terri; Leary, Ann; Smith, Larry",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
A Song Only I Can Hear,"Jonsberg, Barry",,,,,Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge
A Song Only I Can Hear,"Jonsberg, Barry",,,,,Florida,St. John's County School District,July 2023,Banned by restriction,Administration
A Song Only I Can Hear,"Jonsberg, Barry",,,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Parasite: A Graphic Novel in Storyboards,"Joon Ho, Bong",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Path of Daggers,"Jordan, Robert",,,,The Wheel of Time,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Winter's Heart,"Jordan, Robert",,,,The Wheel of Time,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Black Friend: On Being a Better White Person,"Joseph, Frederick",,,,,Florida,Hernando County Schools,December 2023,Banned,Formal Challenge
The Black Friend: On Being a Better White Person,"Joseph, Frederick",,,,,Florida,Martin County Schools,April 2024,Banned,Formal Challenge
A River of Royal Blood,"Joy, Amanda",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Portrait of the Artist as a Young Man,"Joyce, James",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dubliners and A Portrait of the Artist as a Young Man and Other Works,"Joyce, James",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ulysses,"Joyce, James",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ulysses,"Joyce, James",,,,,Iowa,Boone Community School District,June 2024,Banned,Administration
Ulysses,"Joyce, James",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration
Ulysses,"Joyce, James",,,,,Iowa,Shenandoah Community School District,June 2024,Banned,Administration
Ulysses,"Joyce, James",,,,,Iowa,Urbandale Community School District,October 2023,Banned pending investigation,Administration
Ulysses,"Joyce, James",,,,,Iowa,Waterloo Community School District,June 2024,Banned pending investigation,Administration
"The Fashion Committee: A Novel of Art, Crime, and Applied Design","Juby, Susan",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Jay's Gay Agenda,"June, Jason",,,,,Texas,Brownsville Independent School District,May 2024,Banned,Informal Challenge
AIDS and HIV: Risky Business (Teen Issues),"Jussim, Daniel",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Iron Queen,"Kagawa, Julie",,,,,Florida,Clay County School District,January 2024,Banned by restriction,Formal Challenge
The Recognition of Sakuntala: A Play In Seven Acts,Kalidasa,,,"Johnson, W.J.",,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Luna Bay,"Kama, Adrienne",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Bite of the Mango,"Kamara, Mariatu","McClelland, Susan",,,,Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration
Scent of Danger,"Kane, Andrea",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Confessions of a Not It Girl,"Kantor, Melissa",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
"Magical Boy, Vol. 1","Kao, The",,,,Magical Boy,Ohio,Troy City Schools,August 2023,Banned,Formal Challenge
"Get a Grip, Vivy Cohen","Kapit, Sarah",,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge
Prisoners,"Karlin, Wayne",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration
120 Banned Books: Censorship Histories of World Literature,"Karolides, Nicholas J.","Bald, Margaret; Sova, Dawn B.; Soloway, Jeff",,,,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge
Almost Perfect,"Katcher, Brian",,,,,Florida,Nassau County School District,November 2023,Banned,Formal Challenge
Almost Perfect,"Katcher, Brian",,,,,Florida,Seminole County Public Schools,September 2023,Banned,Administration
Almost Perfect,"Katcher, Brian",,,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
Almost Perfect,"Katcher, Brian",,,,,Texas,Conroe Independent School District,October 2023,Banned,Administration
Almost Perfect,"Katcher, Brian",,,,,Texas,Fort Worth Independent School District,August 2023,Banned,Administration
Almost Perfect,"Katcher, Brian",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Almost Perfect,"Katcher, Brian",,,,,Wisconsin,Howard-Suamic School District,November 2023,Banned,Administration
Teardrop,"Kate, Lauren",,,,Teardrop Trilogy,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Torment,"Kate, Lauren",,,,Fallen,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
All Rights Reserved,"Katsoulis, Gregory Scott",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Big Bad Wolf Tells All,"Kauffman, Donna",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
